fecha,pais,departamento,municipio,lugar,localidad,zona,implementacion,coordenadas_n,coordenadas_w,altitud,hora,codigo,transecto,subparcela,cobertura,familia,genero,especie,cap,dap,altura,cob_x,cob_y,cob_total,observaciones
27/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011,"04°46´33.8""","75°24´14.5""",4104,14:00,PPT4,4,3,Frailejonal-Pajonal,Asteraceae,Espeletia,Espeletia hartwegiana,29.516,9.4,180,61,61,3721,
26/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011,"04°46´34.4""","75°24´19.3""",4073,13:42,PPT2,2,3,Frailejonal-Pajonal,Asteraceae,Espeletia,Espeletia hartwegiana,29.516,9.4,154,73,68,4964,
07/11/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Lomabonita,2009," 04°45´22.4""","75°25´51.6""",4098,13:33,LMT3,3,3,Frailejonal-Pajonal,Asteraceae,Espeletia,Espeletia hartwegiana,30.458,9.7,145,57,57,3249,
26/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011,"04°46´34.4""","75°24´19.3""",4073,13:42,PPT2,2,3,Frailejonal-Pajonal,Asteraceae,Espeletia,Espeletia hartwegiana,30.772,9.8,13.5,60,60,3600,
27/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011,"04°46´33.8""","75°24´14.5""",4104,14:00,PPT4,4,3,Frailejonal-Pajonal,Asteraceae,Espeletia,Espeletia hartwegiana,32.028,10.2,160,69,65,4485,
26/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011,"04°46´31.2""","75°24´16.7""",4081,15:11,PPT3,3,3,Frailejonal-Pajonal,Asteraceae,Espeletia,Espeletia hartwegiana,32.028,10.2,170,76,79,6004,
26/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011,"04°46´34.4""","75°24´19.3""",4073,13:42,PPT2,2,3,Frailejonal-Pajonal,Asteraceae,Espeletia,Espeletia hartwegiana,33.598,10.7,175,72,59,4248,
07/11/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Lomabonita,2009," 04°45´26.6""","75°25´29.6""",4044,16:14,LMT5,5,3,Frailejonal-Pajonal,Asteraceae,Espeletia,Espeletia hartwegiana,33.598,10.7,173,64,70,4480,
27/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011,"04°46´33.8""","75°24´14.5""",4104,14:00,PPT4,4,3,Frailejonal-Pajonal,Asteraceae,Espeletia,Espeletia hartwegiana,36.11,11.5,280,66,74,4884,
07/09/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Vereda El Bosque,Playa Rica,2011," 04°44´47.2""","75°26´46.2""",3649,10:42,PRT1,1,1,Pastos Limpios,Hyperaceae,Hypericum,Hypericum laricifolium,38.308,1.22,99,128,113,14464,
07/11/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Lomabonita,2009," 04°45´25.5""","75°25´05.0""",4078,12:50,LMT2,2,3,Frailejonal-Pajonal,Asteraceae,Espeletia,Espeletia hartwegiana,38.622,12.3,132,56,47,2632,
27/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011," 04°46´32.0""","75°24´10.5""",4120,15:35,PPT5,5,3,Frailejonal-Pajonal,Asteraceae,Espeletia,Espeletia hartwegiana,38.936,12.4,270,50,52,2600,
28/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°46´36.6""","75°24´35.2""",4032,11:30,AT1,1,3,Pajonal,Asteraceae,Espeletia,Espeletia hartwegiana,38.936,12.4,173,65,64,4160,
26/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011,"04°46´38.6""","75°24´18.7""",4060,10:35,PPT1,1,2,Pastos Arbolados,Asteraceae,Baccharis,Baccharis tricuneata,42.704,1.36,56,49,52,2548,
28/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°47´29.2""","75°24´42.1""",4016,15:15,AT3,3,1,Pajonal,Escalloniaceae,Escallonia,Escallonia myrtilloides,43.018,1.37,69,112,109,12208,
26/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011,"04°46´38.6""","75°24´18.7""",4060,10:35,PPT1,1,3,Pastos Arbolados,Asteraceae,Baccharis,Baccharis tricuneata,44.902,1.43,89,76,71,5396,
29/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°47´14.8""","75°24´46.2""",3948,15:50,AT5,5,2,Arbustal-Pajonal,Escalloniaceae,Escallonia,Escallonia myrtilloides,45.844,1.46,81,108,47,5076,
26/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011,"04°46´38.6""","75°24´18.7""",4060,10:35,PPT1,1,2,Pastos Arbolados,Asteraceae,Pentacalia,Pentacalia vaccinioides,46.472,1.48,115,90,11,990,
27/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011,"04°46´33.8""","75°24´14.5""",4104,14:00,PPT4,4,3,Frailejonal-Pajonal,Asteraceae,Espeletia,Espeletia hartwegiana,47.1,15,185,75,74,5550,
28/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°47´29.2""","75°24´42.1""",4016,15:15,AT3,3,1,Pajonal,Escalloniaceae,Escallonia,Escallonia myrtilloides,48.042,1.53,47,89,110,9790,
28/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°47´33.8""","75°24´39.0""",4029,12:47,AT2,2,1,Pajonal,Escalloniaceae,Escallonia,Escallonia myrtilloides,48.356,1.54,73,88,76,6688,
29/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°47´14.8""","75°24´46.2""",3948,15:50,AT5,5,2,Arbustal-Pajonal,Escalloniaceae,Escallonia,Escallonia myrtilloides,48.984,1.56,84,118,70,8260,
28/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°46´36.6""","75°24´35.2""",4032,11:30,AT1,1,2,Pajonal,Escalloniaceae,Escallonia,Escallonia myrtilloides,48.984,1.56,90,178,114,20292,
29/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°47´23.7""","75°24´45.9""",3940,13:20,AT4,4,2,Arbustal-Pajonal,Escalloniaceae,Escallonia,Escallonia myrtilloides,54.322,1.73,92,110,121,13310,
29/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°47´23.7""","75°24´45.9""",3940,13:20,AT4,4,2,Arbustal-Pajonal,Escalloniaceae,Escallonia,Escallonia myrtilloides,55.264,1.76,68,119,95,11305,
07/11/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Lomabonita,2009," 04°45´26.6""","75°25´29.6""",4044,16:14,LMT5,5,2,Frailejonal-Pajonal,Asteraceae,Pentacalia,Pentacalia vaccinioides,55.264,1.76,111,66,32,2112,
29/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°47´14.8""","75°24´46.2""",3948,15:50,AT5,5,2,Arbustal-Pajonal,Escalloniaceae,Escallonia,Escallonia myrtilloides,57.462,1.83,92,106,84,8904,
27/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011,"04°46´32.0""","75°24´10.5""",4120,15:35,PPT5,5,1,Frailejonal-Pajonal,Asteraceae,Pentacalia,Pentacalia vaccinioides,58.09,18.5,110,93,92,8556,
29/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°47´14.8""","75°24´46.2""",3948,15:50,AT5,5,2,Arbustal-Pajonal,Escalloniaceae,Escallonia,Escallonia myrtilloides,66.568,2.12,116,136,112,15232,
